file,z0,method,w_min,w_max,mse,mae,avg_window_size,n_deviations,n_steps
initial_value_5_samples_5000.csv,5,diff_ols,5,15,1.946653807536749,0.8465173432941274,14.913432835820895,325.0,335.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,3,8,1.882729862947736,1.0314702176153583,7.78125,51.0,64.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,diff_ols,3,8,13.244511998387793,1.3033816153407745,7.78125,62.0,64.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,3,10,2.9867923098335574,1.293225584031461,9.72549019607843,45.0,51.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,diff_ols,3,10,2.0178015760381283,1.0929016702129324,9.72549019607843,50.0,51.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,3,12,3.5653011312964686,1.317182287848215,11.581395348837209,40.0,43.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,diff_ols,3,12,3.0437604889063143,1.269841983105391,11.581395348837209,42.0,43.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,3,15,3.0225979619183265,1.286439259099334,14.228571428571428,31.0,35.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,diff_ols,3,15,2.5808024643914282,1.253372091029259,14.228571428571428,35.0,35.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,4,8,2.2873814885056083,1.089806053759301,7.873015873015873,53.0,63.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,diff_ols,4,8,1.477569517215756,0.9281370415966955,7.873015873015873,59.0,63.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,4,10,2.010280274647353,1.0544627702939398,9.745098039215685,44.0,51.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,diff_ols,4,10,1.896742302443451,1.0318908789203292,9.745098039215685,48.0,51.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,4,12,2.447442451132725,1.1590074896424047,11.55813953488372,40.0,43.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,diff_ols,4,12,2.0055283402100614,1.0766792726619931,11.55813953488372,42.0,43.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,4,15,4.934074851118642,1.5705940834666825,14.2,29.0,35.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,diff_ols,4,15,3.7360676151054326,1.4421415640888167,14.2,35.0,35.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,5,8,2.0297297796704337,1.0618313254368992,7.873015873015873,50.0,63.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,diff_ols,5,8,1.5831670632512034,0.9373848424028622,7.873015873015873,61.0,63.0
