file,z0,method,w_min,w_max,mse,rmse,mae,mape,direction_accuracy,avg_changepoint_prob,avg_window_size,n_steps
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,5,12,0.37098285270879827,0.6090836171732074,0.4417397782236508,0.7181665841809025,75.35070140280561,0.021843991110838637,11.785714285714286,42.0
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,5,15,0.33918681329400296,0.582397470198835,0.44210043154664247,0.7486044413729116,78.4,0.021843991110838637,14.588235294117647,34.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,3,8,33.930810364239534,5.825015911071792,4.45284658412372,4.909070040316188,52.800000000000004,0.01761973185037863,7.78125,64.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,3,10,34.246119801734125,5.8520184382599245,4.458031006325018,5.148348553684811,54.6,0.01761973185037863,9.576923076923077,52.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,3,12,55.499353761786786,7.449788840080421,5.486821860780053,6.165720995035269,52.400000000000006,0.01761973185037863,11.318181818181818,44.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,3,15,69.95252983717087,8.363762899387504,6.3607091979544155,6.976417112995163,56.00000000000001,0.01761973185037863,13.833333333333334,36.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,4,8,44.257459542570246,6.652628017751349,4.933724156767936,5.7871074885110865,47.199999999999996,0.01761973185037863,7.888888888888889,63.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,4,10,53.307976905239606,7.301231191055355,5.487645386093223,6.050129292387456,53.800000000000004,0.01761973185037863,9.745098039215685,51.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,4,12,55.83164791586689,7.472057809992298,5.598818321286801,6.446336317577334,51.800000000000004,0.01761973185037863,11.55813953488372,43.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,4,15,56.27471298083324,7.501647351137832,5.429034148588725,5.964109011340519,54.6,0.01761973185037863,14.2,35.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,5,8,33.99657943712225,5.830658576620848,4.450963148380805,4.949960116919853,52.21774193548387,0.01761973185037863,7.935483870967742,62.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,5,10,34.28902342459736,5.8556830024000925,4.465871408408605,5.22853989303245,54.12474849094567,0.01761973185037863,9.86,50.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,5,12,56.02655544913493,7.485088873830085,5.538135781763859,6.146429828376903,51.606425702811244,0.01761973185037863,11.761904761904763,42.0
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,5,15,64.52428476557681,8.03270096328606,6.003423425066666,6.556183307783164,55.2,0.01761973185037863,14.17142857142857,35.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,3,8,29.122964824398107,5.396569727558249,3.92814171751053,4.339091993301225,53.400000000000006,0.020460975308610845,7.78125,64.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,3,10,42.539421396627496,6.522225187512886,4.7552568437913285,5.092677741551913,50.2,0.020460975308610845,9.576923076923077,52.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,3,12,58.47759199415888,7.647064272919306,5.528941390794775,6.248272069145883,55.31062124248497,0.020460975308610845,11.55813953488372,43.0
