file,z0,method,window_size,mse,mae,rmse,direction_accuracy,type
initial_value_80_samples_500_a_0.4_b_110_delta_0.1.csv,80,ols,4,0.11847620243418533,0.2584631794713006,0.34420372228403534,57.31462925851704,fixed
initial_value_80_samples_500_a_0.4_b_110_delta_0.1.csv,80,ols,5,0.13563044317223052,0.28029321024350873,0.36828038662441764,58.91783567134269,fixed
initial_value_80_samples_500_a_0.4_b_110_delta_0.1.csv,80,ols,8,0.17797137886343187,0.31831754550677277,0.42186654153112435,58.78787878787879,fixed
initial_value_80_samples_500_a_0.4_b_110_delta_0.1.csv,80,ols,10,0.1722460326602121,0.3093389922954233,0.41502533978085254,60.72144288577155,fixed
initial_value_80_samples_500_a_0.4_b_110_delta_0.1.csv,80,ols,12,0.2221190809883688,0.34658183470601306,0.4712951102954165,60.4887983706721,fixed
initial_value_80_samples_500_a_0.4_b_110_delta_0.1.csv,80,ols,15,0.39834531527125483,0.489141361770865,0.6311460332373601,57.48987854251012,fixed
initial_value_80_samples_500_a_0.5_b_130_delta_3.0.csv,80,ols,3,87.29525936307641,7.015189321581803,9.343193210197272,49.8,fixed
initial_value_80_samples_500_a_0.5_b_130_delta_3.0.csv,80,ols,4,114.2944001603345,8.055833280052646,10.690855913365146,45.09018036072144,fixed
initial_value_80_samples_500_a_0.5_b_130_delta_3.0.csv,80,ols,5,150.57324874765445,8.976152082533037,12.270829179303835,48.69739478957916,fixed
initial_value_80_samples_500_a_0.5_b_130_delta_3.0.csv,80,ols,8,199.19561569164554,10.603854077337855,14.113667690988247,46.464646464646464,fixed
initial_value_80_samples_500_a_0.5_b_130_delta_3.0.csv,80,ols,10,208.05420200519077,10.755583449133141,14.424084095885977,50.70140280561122,fixed
initial_value_80_samples_500_a_0.5_b_130_delta_3.0.csv,80,ols,12,263.026488285226,12.080615992416202,16.21809138848422,48.87983706720978,fixed
initial_value_80_samples_500_a_0.5_b_130_delta_3.0.csv,80,ols,15,347.6271222011517,14.479604775952955,18.644761253530486,46.35627530364373,fixed
initial_value_80_samples_500_a_0.6_b_90_delta_1.5.csv,80,ols,3,22.420139911618495,3.6246796450947465,4.734991014945909,48.8,fixed
initial_value_80_samples_500_a_0.6_b_90_delta_1.5.csv,80,ols,4,20.569549005020612,3.451940074670806,4.535366468657259,46.49298597194389,fixed
initial_value_80_samples_500_a_0.6_b_90_delta_1.5.csv,80,ols,5,28.33885671201883,3.8980325635321216,5.3234252800259,47.49498997995992,fixed
initial_value_80_samples_500_a_0.6_b_90_delta_1.5.csv,80,ols,8,33.71400777073865,4.46197141076544,5.806376475112396,53.939393939393945,fixed
initial_value_80_samples_500_a_0.6_b_90_delta_1.5.csv,80,ols,10,42.319068672561336,5.1641694910879465,6.505310805223785,49.69939879759519,fixed
initial_value_80_samples_500_a_0.6_b_90_delta_1.5.csv,80,ols,12,47.847330806317224,5.25806659852245,6.917176505360929,50.91649694501018,fixed
initial_value_80_samples_500_a_0.6_b_90_delta_1.5.csv,80,ols,15,69.64668745056186,6.3198843951075805,8.345459091659478,46.558704453441294,fixed
initial_value_80_samples_500_a_0.8_b_80_delta_0.3.csv,80,ols,3,0.6395417945580032,0.6143614060351289,0.7997135703225269,52.800000000000004,fixed
initial_value_80_samples_500_a_0.8_b_80_delta_0.3.csv,80,ols,4,0.8170821279439007,0.6889621026362299,0.9039259526885488,50.1002004008016,fixed
initial_value_80_samples_500_a_0.8_b_80_delta_0.3.csv,80,ols,5,0.9645034608685632,0.7350614730874582,0.9820913709368203,48.69739478957916,fixed
initial_value_80_samples_500_a_0.8_b_80_delta_0.3.csv,80,ols,8,1.697670466296535,0.9973256876258151,1.3029468393977304,47.67676767676768,fixed
initial_value_80_samples_500_a_0.8_b_80_delta_0.3.csv,80,ols,10,2.815670301874446,1.2770198834355206,1.6779959183128086,48.296593186372746,fixed
initial_value_80_samples_500_a_0.8_b_80_delta_0.3.csv,80,ols,12,3.2099169604812285,1.3658291925085564,1.791624112497158,47.45417515274949,fixed
initial_value_80_samples_500_a_0.8_b_80_delta_0.3.csv,80,ols,15,3.3314614994990643,1.2941499671219991,1.8252291635570215,51.417004048582996,fixed
