time,value
7.04,99.64654365220163
7.06,99.52479501670217
7.08,99.71636786798815
7.1,99.72134618133742
7.12,99.9778748664032
7.14,100.03230897237525
7.16,99.77265368073594
7.18,99.78876881686836
7.2,99.6937966153717
7.22,100.00043049622421
7.24,100.05033013551383
7.26,100.0630402029223
7.28,99.83745274333758
7.3,100.14023540280353
7.32,100.16393454382599
7.34,100.33778736043246
7.36,100.11633439348783
7.38,100.17875993247317
7.4,100.2965477410808
7.42,100.32657968505254
7.44,100.27103458514293
7.46,100.21639602476152
7.48,100.08310535369394
7.5,100.08913771127746
7.52,100.12392112620036
7.54,100.23822269225884
7.56,100.2640132136192
7.58,100.25330888136598
7.6,99.99717083192107
7.62,99.9387496491645
7.64,100.02782930640291
7.66,100.03182224844011
7.68,100.0889079284198
7.7,100.09686845648083
7.72,100.03175338881448
7.74,99.88222332538122
7.76,99.61693499423964
7.78,99.8168191875353
7.8,99.63338203598195
7.82,99.62911726980902
7.84,99.45295947060936
7.86,99.5286813808532
7.88,99.41171568663202
7.9,99.39854861608339
7.92,99.21137176277418
7.94,99.2161537029342
7.96,99.25407768888029
7.98,99.21002350157073
8.0,99.35619557981626
8.02,99.16865247138159
8.04,99.16400274986471
8.06,99.19639108098355
8.08,99.45720824661643
8.1,99.32788207980099
8.12,99.56470163749887
8.14,99.55936050356023
8.16,99.61352540406541
8.18,99.60006799074858
8.2,99.54604043111927
8.22,99.73003437939376
8.24,99.68804418101396
8.26,99.81988417381478
8.28,99.77593379645033
8.3,99.80651518331082
8.32,99.69585379270744
8.34,99.59865523742565
8.36,99.54182584200171
8.38,99.3557982008128
8.4,99.59231195015072
8.42,99.45341025053742
8.44,99.34100831170046
8.46,99.29831042382635
8.48,99.26127697279014
8.5,99.20612120668883
8.52,99.25052020560737
8.54,99.25725685109141
8.56,99.13114314528093
8.58,99.29831664935543
8.6,99.39090038398514
8.62,99.40530954489222
8.64,99.40124642436128
8.66,99.46149380726034
8.68,99.2450507830991
8.7,99.26123838657546
8.72,98.96893157252345
8.74,99.1504447685992
8.76,99.11466075030718
8.78,98.96709033960029
8.8,98.91443086009319
8.82,98.65920278438531
8.84,98.65660764283916
8.86,98.5839230527883
8.88,98.50120055731021
8.9,98.42398884009508
8.92,98.43711985499654
8.94,98.31335141084377
8.96,98.01568841346823
8.98,98.03142478355608
9.0,98.08211468255031
9.02,98.2072030672713
9.04,98.30835169898593
9.06,98.46303271108506
9.08,98.71570252325803
9.1,98.85024754507751
9.12,98.92824127241681
9.14,98.94445378151866
9.16,98.66603435657849
9.18,98.65891451901558
9.2,98.79106659390509
9.22,98.93002234755286
9.24,98.95159356503909
9.26,99.0996621739087
9.28,99.12793516315165
9.3,99.05088877207578
9.32,99.06959784179173
9.34,99.18881303647343
9.36,99.29204497129118
9.38,99.33943354913076
9.4,99.38557807040668
9.42,99.2937350334318
9.44,99.06801447868094
9.46,98.91735990609052
9.48,98.88236057387837
9.5,99.12067103359564
9.52,98.99948156117678
9.54,99.04801479614338
9.56,99.08813485694104
9.58,99.08081920529528
9.6,98.96091444746878
9.62,99.18908553133207
9.64,98.99110303305297
9.66,98.93897897529081
9.68,99.19407243548649
9.7,99.03391871511154
9.72,99.12707219881723
9.74,99.14732247403703
9.76,99.37657819715542
9.78,99.47429381191701
9.8,99.50725461757081
9.82,99.57264849471863
9.84,99.69324391720444
9.86,99.82449254894416
9.88,99.89946975431594
9.9,100.12218152255997
9.92,100.13928532639913
9.94,99.90207549121723
9.96,99.89138569926436
9.98,99.96356747474096
10.0,99.79669854262411
